epoch,train_loss,val_loss,val_auc,lr
1,0.14574706443032706,0.052289363931197354,0.7854156642503356,0.001
2,0.038485308616282805,0.036854774246322115,0.833389694147119,0.001
3,0.03160600511718825,0.03136577627222386,0.8806073284978511,0.001
4,0.028498503015064305,0.030114444061628224,0.8810519741726635,0.001
5,0.026545813034195103,0.028546209995434665,0.8952238412850964,0.001
6,0.025244012200050247,0.02737564231281059,0.907730969065131,0.001
7,0.024125775843686036,0.026868574329738697,0.9086390370694448,0.001
8,0.02334899869846254,0.026118257412572617,0.9155342155894979,0.001
9,0.022478354375169842,0.0262187814481611,0.9268118650137962,0.001
10,0.021845713881106593,0.025816869951387524,0.9356051625139338,0.001
11,0.021111673984811424,0.02611229115408775,0.9237616072449607,0.001
12,0.02030054088811448,0.02652030246603757,0.9276117852827207,0.001
13,0.01983267478535261,0.026100822638068184,0.9268475053005636,0.001
14,0.019171253883476288,0.02716122116836131,0.91796307809234,0.001
15,0.018666240061058954,0.026796406537226636,0.9153658646624256,0.0005
16,0.016921022272955864,0.026295370372667642,0.925968811229148,0.0005
17,0.01579553401919557,0.026870993042449873,0.9303495579958297,0.0005
18,0.01531844107538095,0.027215310190570236,0.9273120054498869,0.0005
19,0.014739912180278173,0.027916150530327387,0.9251075526150065,0.0005
20,0.014247290616402399,0.02867431603757894,0.928108632128821,0.00025
